MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model_Year
18.0,8,307,130.0,3504,12.0,70
15.0,8,350,165.0,3693,11.5,70
18.0,8,318,150.0,3436,11.0,70
16.0,8,304,150.0,3433,12.0,70
17.0,8,302,140.0,3449,10.5,70
15.0,8,429,198.0,4341,10.0,70
14.0,8,454,220.0,4354,9.0,70
14.0,8,440,215.0,4312,8.5,70
14.0,8,455,225.0,4425,10.0,70
15.0,8,390,190.0,3850,8.5,70
15.0,8,383,170.0,3563,10.0,70
14.0,8,340,160.0,3609,8.0,70
15.0,8,400,150.0,3761,9.5,70
14.0,8,455,225.0,3086,10.0,70
24.0,4,113,95.0,2372,15.0,70
22.0,6,198,95.0,2833,15.5,70
18.0,6,199,97.0,2774,15.5,70
21.0,6,200,85.0,2587,16.0,70
27.0,4,97,88.0,2130,14.5,70
26.0,4,97,46.0,1835,20.5,70
25.0,4,110,87.0,2672,17.5,70
24.0,4,107,90.0,2430,14.5,70
25.0,4,104,95.0,2375,17.5,70
26.0,4,121,113.0,2234,12.5,70
21.0,6,199,90.0,2648,15.0,70
10.0,8,360,215.0,4615,14.0,70
10.0,8,307,200.0,4376,15.0,70
11.0,8,318,210.0,4382,13.5,70
9.0,8,304,193.0,4732,18.5,70
28.0,4,107,86.0,2464,15.5,76
25.0,4,116,81.0,2220,16.9,76
25.0,4,140,92.0,2572,14.9,76
26.0,4,98,79.0,2255,17.7,76
27.0,4,101,83.0,2202,15.3,76
17.5,8,305,140.0,4215,13.0,76
16.0,8,318,150.0,4190,13.0,76
15.5,8,304,120.0,3962,13.9,76
14.5,8,351,152.0,4215,12.8,76
22.0,6,225,100.0,3233,15.4,76
22.0,6,250,105.0,3353,14.5,76
24.0,6,200,81.0,3012,17.6,76
22.5,6,232,90.0,3085,17.6,76
29.0,4,85,52.0,2035,22.2,76
24.5,4,98,60.0,2164,22.1,76
29.0,4,90,70.0,1937,14.2,76
33.0,4,91,53.0,1795,17.4,76
20.0,6,225,100.0,3651,17.7,76
18.0,6,250,78.0,3574,21.0,76
18.5,6,250,110.0,3645,16.2,76
17.5,6,258,95.0,3193,17.8,76
29.5,4,97,71.0,1825,12.2,76
32.0,4,85,70.0,1990,17.0,76
28.0,4,97,75.0,2155,16.4,76
26.5,4,140,72.0,2565,13.6,76
20.0,4,130,102.0,3150,15.7,76
13.0,8,318,150.0,3940,13.2,76
19.0,4,120,88.0,3270,21.9,76
19.0,6,156,108.0,2930,15.5,76
16.5,6,168,120.0,3820,16.7,76
16.5,8,350,180.0,4380,12.1,76
13.0,8,350,145.0,4055,12.0,76
13.0,8,302,130.0,3870,15.0,76
13.0,8,318,150.0,3755,14.0,76
28.0,4,112,88.0,2605,19.6,82
27.0,4,112,88.0,2640,18.6,82
34.0,4,112,88.0,2395,18.0,82
31.0,4,112,85.0,2575,16.2,82
29.0,4,135,84.0,2525,16.0,82
27.0,4,151,90.0,2735,18.0,82
24.0,4,140,92.0,2865,16.4,82
36.0,4,105,74.0,1980,15.3,82
37.0,4,91,68.0,2025,18.2,82
31.0,4,91,68.0,1970,17.6,82
38.0,4,105,63.0,2125,14.7,82
36.0,4,98,70.0,2125,17.3,82
36.0,4,120,88.0,2160,14.5,82
36.0,4,107,75.0,2205,14.5,82
34.0,4,108,70.0,2245,16.9,82
38.0,4,91,67.0,1965,15.0,82
32.0,4,91,67.0,1965,15.7,82
38.0,4,91,67.0,1995,16.2,82
25.0,6,181,110.0,2945,16.4,82
38.0,6,262,85.0,3015,17.0,82
26.0,4,156,92.0,2585,14.5,82
22.0,6,232,112.0,2835,14.7,82
32.0,4,144,96.0,2665,13.9,82
36.0,4,135,84.0,2370,13.0,82
27.0,4,151,90.0,2950,17.3,82
27.0,4,140,86.0,2790,15.6,82
44.0,4,97,52.0,2130,24.6,82
32.0,4,135,84.0,2295,11.6,82
28.0,4,120,79.0,2625,18.6,82
31.0,4,119,82.0,2720,19.4,82
